Observacion	ID	Sexo	SexoNum	Edad	Fuma	Estatura	Colegio	Estrato	Financiacion	Acumulado	P1	P2	P3	Final	Definitiva	Gastos	Ingreso	Gas	Clases	Ley	PandemiaCat	PandemiaNum	Likert1	Likert2	Likert3	Likert4	Likert5	AGPEQ1	AGPEQ2	AGPEQ3	SATS1	SATS2	SATS3	SATS4	IDARE1.1	IDARE1.2	IDARE1.3	IDARE1.4	IDARE1.5	IDARE2.6	IDARE2.7	IDARE2.8	IDARE2.9	IDARE2.10	Puntaje
116	SB11201910024672	Masculino	1	18.03	No	Media	Privado	2	Beca	3.4	3.5	2.7	3.3	3.7	3.3	45.6	1.52	21.1	Virtual	En desacuerdo	De acuerdo	3	5	2	5	5	3	Totalmente de acuerdo	En desacuerdo	Totalmente de acuerdo	Indeciso	De acuerdo	Indeciso	De acuerdo	Mucho	Bastante	No en lo absoluto	No en lo absoluto	Bastante	Frecuentemente	Casi nunca	Algunas veces	Algunas veces	Algunas veces	10
117	SB11201910024549	Femenino	0	20.85	Si	Baja	Privado	1	Beca	3.38	3.9	2.7	3.5	4	3.53	63.6	2.12	17.98	Virtual	En desacuerdo	De acuerdo	3	1	2	4	5	4	Ni de acuerdo, ni en desacuerdo	Totalmente de acuerdo	De acuerdo	Indeciso	De acuerdo	Indeciso	Indeciso	Bastante	Poco	Mucho	No en lo absoluto	Mucho	Frecuentemente	Casi nunca	Casi nunca	Algunas veces	Algunas veces	9
118	SB11201910024610	Masculino	1	17.97	No	Baja	Privado	1	Credito	4.27	5	4.1	4.5	4.5	4.37	49.5	1.65	20.78	Presencial	De acuerdo	En desacuerdo	1	1	2	1	5	2	De acuerdo	Totalmente de acuerdo	Ni de acuerdo, ni en desacuerdo	De acuerdo	Indeciso	Totalmente en desacuerdo	De acuerdo	Mucho	Bastante	No en lo absoluto	No en lo absoluto	Bastante	Algunas veces	Casi nunca	Casi nunca	Frecuentemente	Frecuentemente	9
119	SB11201910024540	Masculino	1	19.96	No	Media	Privado	2	Credito	3.89	4.2	3.3	3.6	4	3.78	39.9	1.33	22.76	Presencial	De acuerdo	De acuerdo	3	2	1	3	1	5	Ni de acuerdo, ni en desacuerdo	Ni de acuerdo, ni en desacuerdo	Totalmente de acuerdo	Indeciso	Totalmente de acuerdo	Indeciso	Indeciso	Bastante	Bastante	Poco	Poco	Bastante	Frecuentemente	Frecuentemente	Algunas veces	Algunas veces	Casi nunca	15
120	SB11201910024576	Femenino	0	20.64	No	Baja	Privado	1	Beca	3.02	4.1	1	4	4.6	3.43	70.8	2.36	18.94	Virtual	En desacuerdo	De acuerdo	3	3	4	1	2	3	Totalmente en desacuerdo	En desacuerdo	Totalmente en desacuerdo	De acuerdo	De acuerdo	Indeciso	En desacuerdo	Mucho	Mucho	No en lo absoluto	No en lo absoluto	Mucho	Frecuentemente	Algunas veces	Algunas veces	Frecuentemente	Frecuentemente	17
121	SB11201910024670	Masculino	1	19.48	No	Baja	Privado	3	Beca	3.19	2.2	2.7	3.4	4.5	3.2	41.1	1.37	23.92	Presencial	En desacuerdo	De acuerdo	3	4	1	5	4	1	Totalmente de acuerdo	Ni de acuerdo, ni en desacuerdo	En desacuerdo	Totalmente en desacuerdo	Totalmente de acuerdo	Totalmente en desacuerdo	Indeciso	Poco	Bastante	Mucho	No en lo absoluto	Poco	Casi siempre	Algunas veces	Algunas veces	Casi nunca	Algunas veces	19
122	SB11201910024559	Femenino	0	17.48	No	Baja	Privado	3	Beca	3.96	4.1	3	4	2.4	3.38	44.7	1.49	25.42	Presencial	En desacuerdo	Ni de acuerdo, ni en desacuerdo	2	5	1	4	2	1	De acuerdo	En desacuerdo	Totalmente de acuerdo	En desacuerdo	Totalmente de acuerdo	Totalmente en desacuerdo	Indeciso	Bastante	Bastante	Poco	Poco	Bastante	Casi siempre	Casi siempre	Algunas veces	Algunas veces	Casi nunca	21
123	SB11201910024615	Femenino	0	17.22	No	Baja	Privado	1	Beca	3.66	4.2	3.2	4.2	2.5	3.53	54	1.8	19.1	Presencial	En desacuerdo	De acuerdo	3	5	1	4	2	2	Ni de acuerdo, ni en desacuerdo	De acuerdo	De acuerdo	Indeciso	Indeciso	En desacuerdo	De acuerdo	Bastante	Poco	Poco	Poco	Poco	Frecuentemente	Frecuentemente	Casi siempre	Algunas veces	Frecuentemente	23
124	SB11201910029059	Masculino	1	21.54	No	Baja	Privado	1	Beca	3.69	3.4	4.5	3.5	2.1	3.38	52.2	1.74	17.29	Presencial	En desacuerdo	Ni de acuerdo, ni en desacuerdo	2	2	5	2	3	5	Totalmente en desacuerdo	De acuerdo	De acuerdo	De acuerdo	En desacuerdo	En desacuerdo	De acuerdo	Mucho	Mucho	Poco	No en lo absoluto	Mucho	Casi siempre	Algunas veces	Casi nunca	Casi nunca	Algunas veces	0
125	SB11201910024589	Masculino	1	16.34	No	Media	Privado	2	Beca	2.9	2.4	3	3.7	5	3.53	45.9	1.5	17.15	Virtual	En desacuerdo	De acuerdo	3	1	4	1	3	1	De acuerdo	Ni de acuerdo, ni en desacuerdo	Totalmente en desacuerdo	De acuerdo	Totalmente de acuerdo	Indeciso	De acuerdo	Poco	Poco	Mucho	No en lo absoluto	Poco	Frecuentemente	Frecuentemente	Casi nunca	Algunas veces	Frecuentemente	77
126	SB11201910024676	Femenino	0	18.27	No	Baja	Privado	1	Beca	3.37	3	2.7	4	4.3	3.5	57.6	1.92	22.26	Presencial	En desacuerdo	Ni de acuerdo, ni en desacuerdo	2	4	4	4	3	5	Totalmente en desacuerdo	En desacuerdo	Totalmente de acuerdo	Totalmente de acuerdo	Totalmente en desacuerdo	Totalmente en desacuerdo	Totalmente de acuerdo	Bastante	Bastante	Poco	No en lo absoluto	Bastante	Casi siempre	Algunas veces	Casi siempre	Casi siempre	Frecuentemente	72
127	SB11201910024599	Masculino	1	17.33	No	Baja	Privado	3	Beca	3.47	3.2	2.7	4	1.5	2.85	31.5	1.05	24.18	Presencial	En desacuerdo	Ni de acuerdo, ni en desacuerdo	2	5	2	1	5	3	Totalmente en desacuerdo	En desacuerdo	Ni de acuerdo, ni en desacuerdo	De acuerdo	Indeciso	En desacuerdo	De acuerdo	Poco	Poco	Poco	Poco	Poco	Casi siempre	Algunas veces	Algunas veces	Casi nunca	Algunas veces	60
128	SB11201910024573	Masculino	1	18.54	No	Media	Privado	3	Credito	3.7	4.9	2.6	3.2	1.8	3.13	36.2	1.04	20.43	Virtual	De acuerdo	De acuerdo	3	5	5	1	1	5	Ni de acuerdo, ni en desacuerdo	Totalmente en desacuerdo	Ni de acuerdo, ni en desacuerdo	Indeciso	En desacuerdo	Totalmente en desacuerdo	Indeciso	Bastante	Bastante	Poco	Poco	Bastante	Frecuentemente	Casi siempre	Algunas veces	Frecuentemente	Algunas veces	69
129	SB11201910024595	Femenino	0	16.38	No	Media	Privado	3	Credito	3.35	3.5	2.5	2.9	4	3.23	48.6	1.62	21.01	Presencial	De acuerdo	Ni de acuerdo, ni en desacuerdo	2	4	5	2	4	3	Ni de acuerdo, ni en desacuerdo	De acuerdo	Ni de acuerdo, ni en desacuerdo	De acuerdo	Indeciso	Indeciso	Indeciso	Bastante	Bastante	Poco	Poco	Bastante	Frecuentemente	Frecuentemente	Algunas veces	Frecuentemente	Casi siempre	65
130	SB11201910024760	Femenino	0	20.56	No	Baja	Privado	3	Credito	3.87	4.2	3.8	2.9	4	3.73	31.7	1.39	20.12	Presencial	De acuerdo	De acuerdo	3	1	2	5	2	3	Totalmente de acuerdo	Totalmente de acuerdo	Totalmente en desacuerdo	Totalmente de acuerdo	De acuerdo	Totalmente en desacuerdo	En desacuerdo	Poco	Poco	Bastante	Poco	Poco	Casi siempre	Frecuentemente	Algunas veces	Frecuentemente	Casi siempre	54
131	SB11201910024538	Masculino	1	19.27	No	Baja	Privado	3	Credito	3.73	2.2	3.8	3	5	3.5	36	1.2	27.4	Presencial	De acuerdo	Ni de acuerdo, ni en desacuerdo	2	1	5	1	3	1	Totalmente de acuerdo	Ni de acuerdo, ni en desacuerdo	De acuerdo	De acuerdo	Totalmente de acuerdo	De acuerdo	De acuerdo	Bastante	Poco	Bastante	No en lo absoluto	Mucho	Casi siempre	Algunas veces	Frecuentemente	Algunas veces	Algunas veces	52
132	SB11201910024703	Masculino	1	21.24	No	Media	Privado	2	Beca	4.19	3	4.8	3.3	4.5	4.2	59.4	1.98	24.96	Virtual	En desacuerdo	En desacuerdo	1	2	2	5	5	5	En desacuerdo	En desacuerdo	Ni de acuerdo, ni en desacuerdo	Totalmente en desacuerdo	De acuerdo	Indeciso	En desacuerdo	Poco	Poco	Poco	Poco	Poco	Casi nunca	Casi siempre	Frecuentemente	Frecuentemente	Frecuentemente	36
133	SB11201910024544	Masculino	1	16.67	No	Baja	Privado	3	Beca	3.23	3.8	2.2	4.2	3.1	3.33	76.6	2.22	18.28	Presencial	En desacuerdo	De acuerdo	3	5	2	3	1	1	Totalmente de acuerdo	En desacuerdo	Totalmente en desacuerdo	De acuerdo	Indeciso	En desacuerdo	De acuerdo	Bastante	Bastante	No en lo absoluto	No en lo absoluto	Bastante	Frecuentemente	Algunas veces	Casi nunca	Algunas veces	Algunas veces	35
134	SB11201910013386	Masculino	1	17.85	No	Media	Privado	3	Beca	3.41	2.2	2.8	3.5	2.9	2.85	50	2	25.86	Presencial	En desacuerdo	De acuerdo	3	4	2	5	3	5	En desacuerdo	Totalmente en desacuerdo	Totalmente de acuerdo	Indeciso	De acuerdo	Indeciso	Totalmente en desacuerdo	Mucho	Poco	No en lo absoluto	No en lo absoluto	Bastante	Algunas veces	Algunas veces	Algunas veces	Algunas veces	Algunas veces	35
135	SB11201910024941	Masculino	1	20.78	No	Media	Privado	3	Credito	3.01	4.5	1	4.6	2.1	3.05	46.5	1.55	18.27	Presencial	De acuerdo	De acuerdo	3	5	5	2	2	2	Totalmente en desacuerdo	Totalmente en desacuerdo	En desacuerdo	Totalmente de acuerdo	De acuerdo	Indeciso	Totalmente de acuerdo	Bastante	Poco	Poco	No en lo absoluto	Poco	Frecuentemente	Algunas veces	Algunas veces	Casi nunca	Algunas veces	34
136	SB11201910013560	Femenino	0	19.62	No	Media	Privado	3	Beca	3.82	5	2.9	3.8	2.1	3.45	38.4	1.28	19.99	Virtual	En desacuerdo	Ni de acuerdo, ni en desacuerdo	2	1	2	3	5	1	De acuerdo	Ni de acuerdo, ni en desacuerdo	En desacuerdo	De acuerdo	Indeciso	En desacuerdo	De acuerdo	Bastante	Bastante	Poco	Bastante	Bastante	Frecuentemente	Algunas veces	Algunas veces	Frecuentemente	Algunas veces	32
137	SB11201910013475	Masculino	1	20.23	No	Media	Privado	3	Credito	3.32	4.5	2	4.3	2.3	3.28	36.3	1.21	18.93	Presencial	De acuerdo	De acuerdo	3	5	1	2	3	5	Ni de acuerdo, ni en desacuerdo	Ni de acuerdo, ni en desacuerdo	Totalmente de acuerdo	En desacuerdo	De acuerdo	Indeciso	De acuerdo	Bastante	Bastante	Poco	Poco	Bastante	Frecuentemente	Frecuentemente	Frecuentemente	Frecuentemente	Casi siempre	28
138	SB11201910013521	Masculino	1	17.58	Si	Baja	Privado	2	Beca	3.67	3.4	4	3	3.4	3.45	34.8	1.16	20.28	Presencial	En desacuerdo	De acuerdo	3	1	2	5	3	2	Totalmente en desacuerdo	Totalmente de acuerdo	En desacuerdo	Indeciso	Totalmente de acuerdo	Indeciso	Totalmente de acuerdo	Poco	No en lo absoluto	Bastante	Bastante	Mucho	Frecuentemente	Casi siempre	Frecuentemente	Casi nunca	Frecuentemente	28
139	SB11201910011798	Masculino	1	19.58	No	Media	Privado	1	Beca	2.94	1.4	3.5	3.8	2.6	2.83	47.7	1.59	19.84	Virtual	En desacuerdo	Ni de acuerdo, ni en desacuerdo	2	1	2	3	4	3	Totalmente en desacuerdo	Totalmente de acuerdo	Ni de acuerdo, ni en desacuerdo	De acuerdo	De acuerdo	Indeciso	De acuerdo	Bastante	Poco	Bastante	No en lo absoluto	Poco	Algunas veces	Algunas veces	Algunas veces	Algunas veces	Frecuentemente	28
140	SB11201910011672	Masculino	1	16.05	No	Baja	Privado	2	Credito	2.2	1.9	1.3	3.4	2.5	2.28	36.3	1.21	16.89	Virtual	De acuerdo	De acuerdo	3	1	2	3	1	5	Totalmente en desacuerdo	Ni de acuerdo, ni en desacuerdo	En desacuerdo	De acuerdo	En desacuerdo	En desacuerdo	Indeciso	Mucho	Bastante	No en lo absoluto	Poco	Bastante	Casi siempre	Algunas veces	Casi nunca	Casi nunca	Algunas veces	28
141	SB11201910011696	Femenino	0	29.85	No	Baja	Privado	3	Beca	3.95	5	2.7	2.4	2.2	3.08	67.5	2.25	21.47	Virtual	En desacuerdo	De acuerdo	3	5	2	3	3	5	Totalmente en desacuerdo	Ni de acuerdo, ni en desacuerdo	En desacuerdo	De acuerdo	En desacuerdo	Totalmente en desacuerdo	Totalmente de acuerdo	Bastante	Bastante	Poco	Poco	Bastante	Frecuentemente	Algunas veces	Frecuentemente	Casi siempre	Frecuentemente	26
142	SB11201910011655	Femenino	0	18.27	No	Baja	Privado	2	Beca	3.99	5	4	3.8	3.7	4.13	66.7	2	16.54	Presencial	En desacuerdo	De acuerdo	3	3	2	3	1	3	Totalmente de acuerdo	En desacuerdo	Ni de acuerdo, ni en desacuerdo	De acuerdo	De acuerdo	Totalmente en desacuerdo	Indeciso	Bastante	Bastante	No en lo absoluto	No en lo absoluto	Bastante	Algunas veces	Frecuentemente	Frecuentemente	Frecuentemente	Casi nunca	26
143	SB11201910011945	Femenino	0	20.12	No	Alta	Privado	2	Credito	3.98	4.8	3.5	4.6	2.5	3.85	74.4	2.48	18.82	Presencial	En desacuerdo	Ni de acuerdo, ni en desacuerdo	2	4	2	5	4	3	En desacuerdo	Ni de acuerdo, ni en desacuerdo	Ni de acuerdo, ni en desacuerdo	De acuerdo	Indeciso	En desacuerdo	Indeciso	Poco	Poco	Poco	No en lo absoluto	Bastante	Frecuentemente	Frecuentemente	Frecuentemente	Frecuentemente	Frecuentemente	25
144	SB11201910011934	Femenino	0	16.75	No	Media	Privado	3	Credito	3.45	4.1	2.7	3.1	2.6	3.13	38.1	1.27	19.42	Virtual	De acuerdo	De acuerdo	3	2	2	1	3	5	En desacuerdo	Totalmente en desacuerdo	De acuerdo	De acuerdo	Indeciso	En desacuerdo	De acuerdo	Poco	Poco	Poco	No en lo absoluto	Poco	Frecuentemente	Frecuentemente	Casi nunca	Frecuentemente	Frecuentemente	24
145	SB11201910011921	Femenino	0	19.41	No	Alta	Privado	3	Beca	3.7	4.9	1.7	3.2	2.2	3	45	1.5	23.86	Presencial	De acuerdo	De acuerdo	3	2	1	5	3	5	De acuerdo	Totalmente de acuerdo	En desacuerdo	Totalmente de acuerdo	Totalmente en desacuerdo	Totalmente en desacuerdo	Totalmente de acuerdo	Bastante	Poco	Poco	Poco	Bastante	Algunas veces	Frecuentemente	Frecuentemente	Frecuentemente	Casi nunca	24
146	SB11201910011947	Femenino	0	18.43	No	Baja	Privado	2	Credito	4.2	4.5	4.8	3.7	3	4	51.6	1.72	18.69	Presencial	En desacuerdo	Ni de acuerdo, ni en desacuerdo	2	1	4	4	1	5	De acuerdo	De acuerdo	Totalmente de acuerdo	Indeciso	De acuerdo	En desacuerdo	En desacuerdo	Poco	No en lo absoluto	Poco	Poco	Bastante	Algunas veces	Frecuentemente	Algunas veces	Algunas veces	Frecuentemente	24
147	SB11201910011805	Masculino	1	19.86	No	Media	Privado	3	Credito	3.5	4.8	1	3	2.6	2.85	43.5	1.45	24.49	Presencial	De acuerdo	En desacuerdo	1	1	3	1	2	2	Totalmente en desacuerdo	Totalmente de acuerdo	En desacuerdo	Indeciso	Indeciso	Totalmente en desacuerdo	Totalmente de acuerdo	Bastante	Bastante	Poco	No en lo absoluto	Bastante	Casi siempre	Frecuentemente	Algunas veces	Algunas veces	Casi nunca	22
148	SB11201910011719	Femenino	0	20.44	No	Media	Privado	3	Beca	4.55	5	4.5	1	2.9	3.35	38.1	1.27	23.79	Presencial	En desacuerdo	Ni de acuerdo, ni en desacuerdo	2	4	1	4	2	5	Totalmente en desacuerdo	Ni de acuerdo, ni en desacuerdo	Ni de acuerdo, ni en desacuerdo	De acuerdo	En desacuerdo	Totalmente en desacuerdo	De acuerdo	Bastante	Bastante	Bastante	Bastante	Bastante	Frecuentemente	Algunas veces	Algunas veces	Frecuentemente	Casi nunca	21
149	SB11201910011663	Femenino	0	17.7	No	Baja	Privado	3	Credito	3.45	5	2.3	3.2	3.1	3.4	58.2	1.94	16.2	Presencial	En desacuerdo	Ni de acuerdo, ni en desacuerdo	2	1	5	4	3	3	De acuerdo	Ni de acuerdo, ni en desacuerdo	Ni de acuerdo, ni en desacuerdo	De acuerdo	En desacuerdo	Totalmente en desacuerdo	Indeciso	Bastante	Bastante	Poco	No en lo absoluto	Bastante	Frecuentemente	Algunas veces	Algunas veces	Algunas veces	Algunas veces	27
150	SB11201910011794	Masculino	1	21.75	Si	Baja	Privado	3	Credito	3.4	3.1	3.1	3.8	2.7	3.18	70.2	2.34	19.83	Presencial	En desacuerdo	De acuerdo	3	4	3	3	1	1	De acuerdo	De acuerdo	En desacuerdo	Indeciso	De acuerdo	Indeciso	Indeciso	Bastante	Bastante	Poco	Poco	Bastante	Frecuentemente	Algunas veces	Algunas veces	Algunas veces	Algunas veces	19
151	SB11201910024727	Femenino	0	21.84	No	Baja	Privado	3	Credito	4.21	3.6	5	3.1	3.1	3.7	38.7	1.29	22.69	Virtual	De acuerdo	De acuerdo	3	2	1	2	4	4	En desacuerdo	Ni de acuerdo, ni en desacuerdo	Ni de acuerdo, ni en desacuerdo	De acuerdo	Indeciso	En desacuerdo	De acuerdo	Bastante	Bastante	Poco	No en lo absoluto	Bastante	Frecuentemente	Casi siempre	Casi siempre	Frecuentemente	Frecuentemente	18
152	SB11201910011896	Femenino	0	16.35	No	Media	Privado	3	Credito	3.81	3.3	5	3	3.4	3.68	31.5	1.05	18.38	Presencial	De acuerdo	De acuerdo	3	1	4	4	1	4	De acuerdo	Ni de acuerdo, ni en desacuerdo	Totalmente de acuerdo	Indeciso	Totalmente de acuerdo	De acuerdo	Indeciso	Poco	Poco	Poco	Poco	Poco	Frecuentemente	Frecuentemente	Algunas veces	Casi siempre	Casi siempre	18
153	SB11201910011699	Femenino	0	17.15	No	Media	Privado	3	Credito	4.04	4.2	3.5	3.4	2.4	3.38	61.8	2.06	23.11	Presencial	En desacuerdo	De acuerdo	3	2	2	3	1	2	Ni de acuerdo, ni en desacuerdo	Totalmente de acuerdo	En desacuerdo	Indeciso	De acuerdo	De acuerdo	Indeciso	Bastante	Poco	Bastante	Bastante	Poco	Algunas veces	Frecuentemente	Algunas veces	Frecuentemente	Casi siempre	17
154	SB11201910011876	Masculino	1	20.53	No	Baja	Privado	2	Credito	3.9	4.7	4.2	3.8	3.5	4.05	48.9	1.63	16.14	Presencial	De acuerdo	Ni de acuerdo, ni en desacuerdo	2	3	3	2	3	3	Totalmente de acuerdo	Totalmente en desacuerdo	Ni de acuerdo, ni en desacuerdo	Indeciso	Totalmente en desacuerdo	Totalmente en desacuerdo	De acuerdo	No en lo absoluto	No en lo absoluto	Bastante	Poco	Poco	Frecuentemente	Casi nunca	Casi nunca	Algunas veces	Casi nunca	17
155	SB11201910011704	Femenino	0	18.17	No	Alta	Privado	3	Credito	4.45	4.2	5	4.9	2.6	4.18	59.7	1.99	22.61	Presencial	En desacuerdo	Ni de acuerdo, ni en desacuerdo	2	2	1	4	4	1	Totalmente de acuerdo	En desacuerdo	Totalmente en desacuerdo	En desacuerdo	Totalmente de acuerdo	Indeciso	Totalmente en desacuerdo	Poco	Poco	Poco	Poco	Poco	Frecuentemente	Frecuentemente	Frecuentemente	Frecuentemente	Frecuentemente	12
156	SB11201910011936	Masculino	1	17.26	No	Baja	Privado	2	Credito	4.16	4.7	4	3.1	2.6	3.6	54	1.8	20.76	Presencial	En desacuerdo	En desacuerdo	1	2	1	4	2	1	Totalmente de acuerdo	De acuerdo	De acuerdo	En desacuerdo	Totalmente en desacuerdo	Totalmente en desacuerdo	De acuerdo	Mucho	Mucho	Poco	Poco	Mucho	Frecuentemente	Casi nunca	Casi nunca	Casi nunca	Algunas veces	18
157	SB11201910024720	Masculino	1	17.56	No	Media	Privado	2	Credito	3.69	4.3	3.5	1.7	2.3	2.95	30.6	1.02	18.94	Presencial	De acuerdo	De acuerdo	3	5	3	5	2	1	En desacuerdo	De acuerdo	En desacuerdo	Indeciso	Indeciso	Indeciso	De acuerdo	Poco	No en lo absoluto	Bastante	No en lo absoluto	Poco	Frecuentemente	Algunas veces	Algunas veces	Frecuentemente	Casi siempre	11
158	SB11201910011886	Femenino	0	20.4	No	Baja	Privado	3	Credito	4.16	4.7	4.3	4.5	3.7	4.3	67.5	2.25	18.73	Presencial	De acuerdo	De acuerdo	3	1	4	4	5	3	De acuerdo	De acuerdo	Totalmente de acuerdo	De acuerdo	En desacuerdo	Totalmente en desacuerdo	Indeciso	Mucho	Mucho	No en lo absoluto	No en lo absoluto	Mucho	Frecuentemente	Algunas veces	Algunas veces	Casi nunca	Frecuentemente	9
159	SB11201910030100	Femenino	0	19.85	No	Media	Privado	2	Credito	2.85	2.4	1.8	1.8	2.3	2.08	45.3	1.51	21.74	Presencial	En desacuerdo	Ni de acuerdo, ni en desacuerdo	2	1	3	1	2	3	Totalmente de acuerdo	En desacuerdo	Ni de acuerdo, ni en desacuerdo	Totalmente en desacuerdo	Indeciso	Indeciso	De acuerdo	Mucho	Bastante	Poco	Poco	Bastante	Algunas veces	Algunas veces	Algunas veces	Algunas veces	Algunas veces	25
160	SB11201910038167	Femenino	0	20.39	No	Media	Privado	2	Credito	4.43	4.2	4.3	4.1	2.7	3.83	61.2	2.04	25.41	Virtual	De acuerdo	De acuerdo	3	2	1	2	4	3	Ni de acuerdo, ni en desacuerdo	Totalmente de acuerdo	De acuerdo	Indeciso	Totalmente de acuerdo	Indeciso	En desacuerdo	Mucho	Bastante	Poco	No en lo absoluto	Bastante	Algunas veces	Frecuentemente	Frecuentemente	Frecuentemente	Frecuentemente	27
161	SB11201910038112	Masculino	1	17.95	No	Alta	Publico	1	Credito	4.21	4.3	4.3	2.1	2.6	3.33	81	2.7	20.65	Presencial	En desacuerdo	De acuerdo	3	2	1	4	1	5	Totalmente de acuerdo	Ni de acuerdo, ni en desacuerdo	En desacuerdo	Indeciso	Indeciso	En desacuerdo	De acuerdo	Poco	Poco	Bastante	Bastante	Poco	Frecuentemente	Algunas veces	Algunas veces	Frecuentemente	Frecuentemente	29
162	SB11201910038301	Femenino	0	17.78	Si	Alta	Privado	3	Credito	4.19	3.4	4.3	1.6	3.3	3.15	53.7	1.79	25.8	Virtual	En desacuerdo	De acuerdo	3	4	3	1	5	5	Ni de acuerdo, ni en desacuerdo	De acuerdo	De acuerdo	De acuerdo	De acuerdo	De acuerdo	Totalmente de acuerdo	No en lo absoluto	No en lo absoluto	Mucho	Mucho	No en lo absoluto	Frecuentemente	Frecuentemente	Frecuentemente	Algunas veces	Frecuentemente	31
163	SB11201910055213	Masculino	1	17.01	No	Media	Publico	1	Credito	3.89	4.6	2.3	1.7	3.4	3	34.5	1.15	25.86	Virtual	De acuerdo	De acuerdo	3	5	1	2	1	2	Ni de acuerdo, ni en desacuerdo	Ni de acuerdo, ni en desacuerdo	Ni de acuerdo, ni en desacuerdo	De acuerdo	De acuerdo	De acuerdo	De acuerdo	Bastante	Bastante	Poco	No en lo absoluto	Mucho	Casi siempre	Frecuentemente	Algunas veces	Algunas veces	Algunas veces	33
164	SB11201910047701	Femenino	0	16.75	No	Media	Privado	3	Credito	4.36	4.6	4.4	2.8	3.6	3.85	87.7	2.59	21.3	Presencial	En desacuerdo	Ni de acuerdo, ni en desacuerdo	2	5	4	2	4	2	Totalmente de acuerdo	De acuerdo	Ni de acuerdo, ni en desacuerdo	En desacuerdo	Indeciso	Indeciso	Totalmente en desacuerdo	Poco	Mucho	Bastante	Poco	Poco	Algunas veces	Algunas veces	Algunas veces	Algunas veces	Algunas veces	9
165	SB11201910038508	Femenino	0	21.71	No	Media	Privado	3	Credito	3.39	3.2	3.1	2.4	3.5	3.05	33.3	1.11	21.05	Presencial	De acuerdo	De acuerdo	3	2	1	1	5	3	Totalmente de acuerdo	Ni de acuerdo, ni en desacuerdo	De acuerdo	Totalmente de acuerdo	Totalmente de acuerdo	Totalmente de acuerdo	De acuerdo	Bastante	Mucho	Poco	No en lo absoluto	Bastante	Casi siempre	Algunas veces	Algunas veces	Frecuentemente	Frecuentemente	81
166	SB11201910038409	Femenino	0	21.56	No	Baja	Privado	2	Credito	3.37	4.4	2.7	3.8	3.9	3.7	35.4	1.18	16.94	Virtual	En desacuerdo	De acuerdo	3	5	2	2	5	2	Ni de acuerdo, ni en desacuerdo	En desacuerdo	Totalmente en desacuerdo	En desacuerdo	Indeciso	Indeciso	De acuerdo	Bastante	Bastante	Poco	Poco	Poco	Frecuentemente	Frecuentemente	Casi siempre	Frecuentemente	Casi nunca	78
167	SB11201910038025	Masculino	1	16.75	No	Baja	Publico	1	Credito	4.19	4.8	5	3.3	3.6	4.18	48.6	1.62	16.45	Virtual	De acuerdo	De acuerdo	3	4	4	4	3	4	De acuerdo	En desacuerdo	De acuerdo	De acuerdo	Totalmente en desacuerdo	Totalmente en desacuerdo	Totalmente de acuerdo	Poco	No en lo absoluto	Mucho	Mucho	Poco	Casi siempre	Algunas veces	Casi nunca	Frecuentemente	Casi nunca	77
168	SB11201910055011	Femenino	0	17.93	No	Media	Privado	2	Credito	3.51	4.1	2	3.2	2.6	2.98	35.7	1.19	23.65	Virtual	En desacuerdo	De acuerdo	3	1	5	5	5	1	Totalmente en desacuerdo	Totalmente en desacuerdo	De acuerdo	Indeciso	En desacuerdo	De acuerdo	En desacuerdo	Mucho	Poco	Poco	Poco	Bastante	Casi siempre	Frecuentemente	Casi nunca	Algunas veces	Frecuentemente	70
169	SB11201910038188	Femenino	0	21.53	No	Baja	Privado	2	Credito	3.04	3.2	2.6	2.2	2.5	2.63	43.8	1.46	17.46	Virtual	En desacuerdo	De acuerdo	3	1	2	5	1	1	De acuerdo	De acuerdo	Totalmente en desacuerdo	De acuerdo	De acuerdo	En desacuerdo	De acuerdo	Bastante	Bastante	No en lo absoluto	No en lo absoluto	Bastante	Algunas veces	Frecuentemente	Casi nunca	Casi siempre	Frecuentemente	68
170	SB11201910038389	Femenino	0	21.48	No	Alta	Privado	1	Beca	3.86	3.2	3.8	2.6	2.7	3.08	69.9	2.33	23.18	Presencial	De acuerdo	De acuerdo	3	2	3	1	5	5	De acuerdo	De acuerdo	Ni de acuerdo, ni en desacuerdo	Indeciso	Totalmente en desacuerdo	En desacuerdo	Indeciso	Bastante	Bastante	No en lo absoluto	No en lo absoluto	Poco	Algunas veces	Algunas veces	Algunas veces	Algunas veces	Algunas veces	65
171	SB11201910038324	Masculino	1	17.84	No	Alta	Publico	3	Credito	2.87	2.4	1.3	3.2	4.3	2.8	37.7	1.09	25.08	Presencial	En desacuerdo	De acuerdo	3	2	5	4	4	4	Ni de acuerdo, ni en desacuerdo	En desacuerdo	Totalmente de acuerdo	Totalmente en desacuerdo	Totalmente de acuerdo	Totalmente de acuerdo	De acuerdo	Bastante	Bastante	Mucho	Bastante	Bastante	Casi nunca	Casi siempre	Casi siempre	Casi siempre	Casi siempre	54
